robot_count,completed_tasks,total_completion_time,average_task_completion_time,throughput,robot_utilization,average_waiting_time,total_distance,blocked_waiting_count,replication,seed
6,100,354,157.46,0.2824858757062147,0.9458568738229756,3.6666666666666665,2009,22,5,1004
6,100,348,154.37,0.28735632183908044,0.9487547892720306,4.333333333333333,1981,26,6,1005
6,100,329,137.1,0.303951367781155,0.9159067882472138,7.5,1808,45,7,1006
6,100,329,145.67,0.303951367781155,0.9564336372847011,5.5,1888,33,8,1007
6,100,340,152.19,0.29411764705882354,0.9122549019607843,4.666666666666667,1861,28,9,1008
6,100,353,154.77,0.28328611898017,0.9164305949008499,6.5,1941,39,10,1009
6,100,358,161.54,0.27932960893854747,0.9562383612662942,4.5,2054,27,11,1010
6,100,350,153.57,0.2857142857142857,0.9442857142857143,3.5,1983,21,12,1011
6,100,362,161.85,0.27624309392265195,0.9507366482504604,3.3333333333333335,2065,20,13,1012
6,100,355,153.22,0.28169014084507044,0.9460093896713615,4.666666666666667,2015,28,14,1013
6,100,349,154.77,0.28653295128939826,0.9570200573065902,2.8333333333333335,2004,17,15,1014
6,100,353,154.57,0.28328611898017,0.9442870632672332,3.8333333333333335,2000,23,16,1015
6,100,373,163.76,0.2680965147453083,0.9070598748882931,5.166666666666667,2030,31,17,1016
6,100,373,161.5,0.2680965147453083,0.9320822162645219,2.8333333333333335,2086,17,18,1017
6,100,359,155.84,0.2785515320334262,0.9257195914577531,5.5,1994,33,19,1018
6,100,349,149.24,0.28653295128939826,0.9317096466093601,4.5,1951,27,20,1019
6,100,326,151.57,0.3067484662576687,0.9652351738241309,7.0,1888,42,21,1020
6,100,337,152.26,0.29673590504451036,0.9584569732937686,7.5,1938,45,22,1021
6,100,347,150.31,0.2881844380403458,0.9462055715658021,4.333333333333333,1970,26,23,1022
6,100,340,148.13,0.29411764705882354,0.9338235294117647,4.166666666666667,1905,25,24,1023
6,100,318,138.48,0.31446540880503143,0.9350104821802935,4.5,1784,27,25,1024
6,100,371,170.57,0.2695417789757412,0.9730458221024259,2.5,2166,15,26,1025
6,100,343,154.89,0.2915451895043732,0.9397473275024295,6.5,1934,39,27,1026
6,100,373,162.2,0.2680965147453083,0.9316353887399463,3.6666666666666665,2085,22,28,1027
6,100,344,152.3,0.29069767441860467,0.935562015503876,4.666666666666667,1931,28,29,1028
6,100,325,145.25,0.3076923076923077,0.9553846153846154,3.3333333333333335,1863,20,30,1029
6,100,325,136.09,0.3076923076923077,0.9574358974358974,4.5,1867,27,31,1030
6,100,312,136.77,0.32051282051282054,0.9545940170940171,3.8333333333333335,1787,23,32,1031
6,100,323,145.34,0.30959752321981426,0.9370485036119711,6.0,1816,36,33,1032
6,100,342,148.38,0.29239766081871343,0.9488304093567251,2.1666666666666665,1947,13,34,1033
6,100,358,154.2,0.27932960893854747,0.9264432029795159,5.5,1990,33,35,1034
6,100,347,150.46,0.2881844380403458,0.9346781940441883,7.333333333333333,1946,44,36,1035
6,100,350,154.3,0.2857142857142857,0.9280952380952381,4.333333333333333,1949,26,37,1036
6,100,339,147.94,0.2949852507374631,0.9493608652900688,4.5,1931,27,38,1037
6,100,356,155.58,0.2808988764044944,0.9330524344569289,4.666666666666667,1993,28,39,1038
6,100,400,175.3,0.25,0.9445833333333333,3.5,2267,21,40,1039
6,100,334,157.79,0.2994011976047904,0.9710578842315369,3.1666666666666665,1946,19,41,1040
6,100,360,168.53,0.2777777777777778,0.9402777777777778,7.333333333333333,2031,44,42,1041
6,100,344,150.65,0.29069767441860467,0.9302325581395349,5.0,1920,30,43,1042
6,100,373,167.48,0.2680965147453083,0.9436997319034852,3.1666666666666665,2112,19,44,1043
6,100,352,159.17,0.2840909090909091,0.9474431818181818,4.166666666666667,2001,25,45,1044
6,100,378,163.38,0.26455026455026454,0.9400352733686067,2.5,2132,15,46,1045
6,100,326,152.73,0.3067484662576687,0.9452965235173824,4.833333333333333,1849,29,47,1046
6,100,332,146.59,0.30120481927710846,0.9447791164658634,4.833333333333333,1882,29,48,1047
6,100,370,159.95,0.2702702702702703,0.9328828828828829,4.666666666666667,2071,28,49,1048
6,100,355,165.09,0.28169014084507044,0.9666666666666667,3.6666666666666665,2059,22,50,1049
6,100,342,154.84,0.29239766081871343,0.949317738791423,6.666666666666667,1948,40,51,1050
6,100,358,153.17,0.27932960893854747,0.9180633147113594,2.8333333333333335,1972,17,52,1051
6,100,328,147.69,0.3048780487804878,0.9461382113821138,5.0,1862,30,53,1052
6,100,327,148.58,0.3058103975535168,0.9602446483180428,3.5,1884,21,54,1053
6,100,355,161.57,0.28169014084507044,0.939906103286385,2.5,2002,15,55,1054
6,100,380,156.74,0.2631578947368421,0.9263157894736842,2.3333333333333335,2112,14,56,1055
6,100,325,146.88,0.3076923076923077,0.9676923076923077,5.833333333333333,1887,35,57,1056
6,100,364,159.71,0.27472527472527475,0.9633699633699634,2.8333333333333335,2104,17,58,1057
6,100,347,157.73,0.2881844380403458,0.9745437079731027,3.3333333333333335,2029,20,59,1058
6,100,353,154.14,0.28328611898017,0.9490084985835694,3.5,2010,21,60,1059
6,100,342,155.45,0.29239766081871343,0.9444444444444444,5.833333333333333,1938,35,61,1060
6,100,374,153.56,0.26737967914438504,0.9371657754010695,4.333333333333333,2103,26,62,1061
6,100,340,151.1,0.29411764705882354,0.932843137254902,6.5,1903,39,63,1062
6,100,353,162.85,0.28328611898017,0.9570349386213409,3.3333333333333335,2027,20,64,1063
6,100,387,176.3,0.25839793281653745,0.9440137812230835,8.333333333333334,2192,50,65,1064
6,100,360,164.48,0.2777777777777778,0.9375,4.5,2025,27,66,1065
6,100,317,147.74,0.31545741324921134,0.9474237644584648,4.833333333333333,1802,29,67,1066
6,100,332,150.65,0.30120481927710846,0.9628514056224899,4.0,1918,24,68,1067
6,100,338,156.74,0.2958579881656805,0.965483234714004,3.6666666666666665,1958,22,69,1068
6,100,332,154.47,0.30120481927710846,0.9492971887550201,3.3333333333333335,1891,20,70,1069
6,100,346,161.92,0.28901734104046245,0.9576107899807321,4.333333333333333,1988,26,71,1070
6,100,320,150.59,0.3125,0.953125,5.333333333333333,1830,32,72,1071
6,100,330,143.23,0.30303030303030304,0.952020202020202,4.666666666666667,1885,28,73,1072
6,100,336,149.54,0.2976190476190476,0.9503968253968254,4.5,1916,27,74,1073
6,100,321,139.94,0.3115264797507788,0.9158878504672897,5.0,1764,30,75,1074
6,100,350,151.76,0.2857142857142857,0.9323809523809524,3.8333333333333335,1958,23,76,1075
6,100,351,160.95,0.2849002849002849,0.9696106362773029,3.5,2042,21,77,1076
6,100,382,163.51,0.2617801047120419,0.9354275741710296,4.0,2144,24,78,1077
6,100,334,146.12,0.2994011976047904,0.9316367265469062,5.166666666666667,1867,31,79,1078
6,100,354,161.9,0.2824858757062147,0.9571563088512242,4.5,2033,27,80,1079
6,100,337,146.69,0.29673590504451036,0.9342235410484668,4.833333333333333,1889,29,81,1080
6,100,345,151.43,0.2898550724637681,0.9333333333333333,4.333333333333333,1932,26,82,1081
6,100,354,162.07,0.2824858757062147,0.9486817325800376,6.5,2015,39,83,1082
6,100,315,147.58,0.31746031746031744,0.9661375661375662,4.833333333333333,1826,29,84,1083
6,100,339,152.87,0.2949852507374631,0.9493608652900688,2.8333333333333335,1931,17,85,1084
6,100,334,140.03,0.2994011976047904,0.9226546906187625,4.0,1849,24,86,1085
6,100,315,141.85,0.31746031746031744,0.9608465608465608,3.3333333333333335,1816,20,87,1086
6,100,333,147.44,0.3003003003003003,0.9454454454454454,3.3333333333333335,1889,20,88,1087
6,100,353,155.8,0.28328611898017,0.9513692162417375,6.333333333333333,2015,38,89,1088
6,100,353,156.76,0.28328611898017,0.9249291784702549,5.333333333333333,1959,32,90,1089
6,100,314,141.05,0.3184713375796178,0.9681528662420382,2.8333333333333335,1824,17,91,1090
6,100,348,156.88,0.28735632183908044,0.9315134099616859,3.5,1945,21,92,1091
6,100,365,161.25,0.273972602739726,0.9611872146118722,2.5,2105,15,93,1092
6,100,382,168.35,0.2617801047120419,0.930628272251309,3.1666666666666665,2133,19,94,1093
6,100,374,159.86,0.26737967914438504,0.9175579322638147,4.5,2059,27,95,1094
6,100,336,160.89,0.2976190476190476,0.9503968253968254,5.5,1916,33,96,1095
6,100,349,160.67,0.28653295128939826,0.957497612225406,4.5,2005,27,97,1096
6,100,349,153.89,0.28653295128939826,0.9565425023877746,4.833333333333333,2003,29,98,1097
6,100,372,167.15,0.26881720430107525,0.9484767025089605,2.1666666666666665,2117,13,99,1098
6,100,319,143.18,0.31347962382445144,0.945141065830721,6.333333333333333,1809,38,100,1099
8,100,266,120.94,0.37593984962406013,0.9172932330827067,5.375,1952,43,1,1000
8,100,272,128.57,0.36764705882352944,0.9315257352941176,4.25,2027,34,2,1001
8,100,276,117.67,0.36231884057971014,0.9071557971014492,3.5,2003,28,3,1002
8,100,258,118.56,0.3875968992248062,0.9287790697674418,4.75,1917,38,4,1003
8,100,268,122.15,0.373134328358209,0.9347014925373134,4.625,2004,37,5,1004
8,100,269,120.48,0.37174721189591076,0.925185873605948,4.875,1991,39,6,1005
8,100,256,107.83,0.390625,0.880859375,9.25,1804,74,7,1006
8,100,254,114.58,0.3937007874015748,0.9286417322834646,7.875,1887,63,8,1007
8,100,256,118.72,0.390625,0.91650390625,5.625,1877,45,9,1008
8,100,260,119.6,0.38461538461538464,0.9375,7.0,1950,56,10,1009
8,100,283,125.87,0.35335689045936397,0.9156360424028268,4.75,2073,38,11,1010
8,100,276,119.16,0.36231884057971014,0.907608695652174,4.0,2004,32,12,1011
8,100,274,126.57,0.36496350364963503,0.9438868613138686,5.0,2069,40,13,1012
8,100,278,120.46,0.3597122302158273,0.9118705035971223,6.625,2028,53,14,1013
8,100,281,121.5,0.35587188612099646,0.8923487544483986,4.625,2006,37,15,1014
8,100,270,120.21,0.37037037037037035,0.9305555555555556,4.0,2010,32,16,1015
8,100,279,126.69,0.35842293906810035,0.9148745519713262,5.125,2042,41,17,1016
8,100,288,124.88,0.3472222222222222,0.91015625,2.875,2097,23,18,1017
8,100,274,119.62,0.36496350364963503,0.9124087591240876,3.625,2000,29,19,1018
8,100,274,116.07,0.36496350364963503,0.8959854014598541,4.125,1964,33,20,1019
8,100,257,117.45,0.38910505836575876,0.9231517509727627,6.875,1898,55,21,1020
8,100,264,118.78,0.3787878787878788,0.9247159090909091,7.75,1953,62,22,1021
8,100,271,116.98,0.36900369003690037,0.9128228782287823,5.25,1979,42,23,1022
8,100,265,115.82,0.37735849056603776,0.9084905660377358,4.375,1926,35,24,1023
8,100,244,108.63,0.4098360655737705,0.9211065573770492,4.875,1798,39,25,1024
8,100,303,133.2,0.33003300330033003,0.900990099009901,4.375,2184,35,26,1025
8,100,262,120.25,0.3816793893129771,0.9298664122137404,7.125,1949,57,27,1026
8,100,286,125.78,0.34965034965034963,0.9104020979020979,4.375,2083,35,28,1027
8,100,267,120.24,0.37453183520599254,0.903558052434457,6.625,1930,53,29,1028
8,100,251,113.16,0.398406374501992,0.9302788844621513,5.125,1868,41,30,1029
8,100,266,108.64,0.37593984962406013,0.8843984962406015,6.0,1882,48,31,1030
8,100,239,107.99,0.41841004184100417,0.9398535564853556,5.75,1797,46,32,1031
8,100,253,114.06,0.3952569169960474,0.9105731225296443,4.875,1843,39,33,1032
8,100,275,115.51,0.36363636363636365,0.8854545454545455,4.125,1948,33,34,1033
8,100,272,119.8,0.36764705882352944,0.9103860294117647,4.625,1981,37,35,1034
8,100,269,116.54,0.37174721189591076,0.9089219330855018,7.625,1956,61,36,1035
8,100,271,120.4,0.36900369003690037,0.9063653136531366,6.25,1965,50,37,1036
8,100,258,114.88,0.3875968992248062,0.9292635658914729,5.25,1918,42,38,1037
8,100,266,120.29,0.37593984962406013,0.9426691729323309,5.25,2006,42,39,1038
8,100,306,136.35,0.32679738562091504,0.9313725490196079,4.0,2280,32,40,1039
8,100,261,121.6,0.3831417624521073,0.9339080459770115,3.625,1950,29,41,1040
8,100,280,130.69,0.35714285714285715,0.9035714285714286,7.125,2024,57,42,1041
8,100,253,116.79,0.3952569169960474,0.9491106719367589,5.0,1921,40,43,1042
8,100,280,129.66,0.35714285714285715,0.9388392857142858,4.625,2103,37,44,1043
8,100,278,124.92,0.3597122302158273,0.9073741007194245,5.75,2018,46,45,1044
8,100,289,125.63,0.3460207612456747,0.916955017301038,3.5,2120,28,46,1045
8,100,253,118.23,0.3952569169960474,0.9263833992094862,4.5,1875,36,47,1046
8,100,260,113.86,0.38461538461538464,0.9043269230769231,4.0,1881,32,48,1047
8,100,291,123.01,0.3436426116838488,0.8969072164948454,4.0,2088,32,49,1048
8,100,278,128.48,0.3597122302158273,0.927158273381295,6.625,2062,53,50,1049
8,100,266,121.54,0.37593984962406013,0.9205827067669173,8.125,1959,65,51,1050
8,100,273,118.98,0.3663003663003663,0.9006410256410257,4.125,1967,33,52,1051
8,100,252,115.69,0.3968253968253968,0.9340277777777778,6.375,1883,51,53,1052
8,100,258,116.98,0.3875968992248062,0.9118217054263565,3.625,1882,29,54,1053
8,100,267,124.37,0.37453183520599254,0.9386704119850188,3.0,2005,24,55,1054
8,100,281,123.04,0.35587188612099646,0.9328291814946619,3.375,2097,27,56,1055
8,100,256,114.01,0.390625,0.92041015625,4.625,1885,37,57,1056
8,100,286,124.49,0.34965034965034963,0.9243881118881119,4.25,2115,34,58,1057
8,100,267,121.85,0.37453183520599254,0.9583333333333334,3.375,2047,27,59,1058
8,100,270,119.59,0.37037037037037035,0.924074074074074,4.0,1996,32,60,1059
8,100,264,119.98,0.3787878787878788,0.9180871212121212,5.5,1939,44,61,1060
8,100,298,120.11,0.33557046979865773,0.8808724832214765,4.75,2100,38,62,1061
8,100,261,115.97,0.3831417624521073,0.9128352490421456,4.875,1906,39,63,1062
8,100,275,125.72,0.36363636363636365,0.925,3.5,2035,28,64,1063
8,100,300,135.04,0.3333333333333333,0.9195833333333333,4.5,2207,36,65,1064
8,100,273,127.33,0.3663003663003663,0.9345238095238095,3.75,2041,30,66,1065
8,100,246,114.78,0.4065040650406504,0.921239837398374,4.0,1813,32,67,1066
8,100,276,118.26,0.36231884057971014,0.8781702898550725,4.625,1939,37,68,1067
8,100,263,124.01,0.38022813688212925,0.9443916349809885,5.375,1987,43,69,1068
8,100,258,121.01,0.3875968992248062,0.9263565891472868,4.125,1912,33,70,1069
8,100,268,125.45,0.373134328358209,0.9267723880597015,5.0,1987,40,71,1070
8,100,249,116.51,0.40160642570281124,0.9241967871485943,4.5,1841,36,72,1071
8,100,270,116.32,0.37037037037037035,0.8736111111111111,10.25,1887,82,73,1072
8,100,261,116.78,0.3831417624521073,0.9300766283524904,5.125,1942,41,74,1073
8,100,252,109.61,0.3968253968253968,0.8874007936507936,4.375,1789,35,75,1074
8,100,265,117.59,0.37735849056603776,0.9297169811320755,3.5,1971,28,76,1075
8,100,274,126.24,0.36496350364963503,0.9429744525547445,5.5,2067,44,77,1076
8,100,297,126.68,0.3367003367003367,0.9044612794612794,4.375,2149,35,78,1077
8,100,250,113.81,0.4,0.938,4.25,1876,34,79,1078
8,100,282,124.34,0.3546099290780142,0.9073581560283688,3.0,2047,24,80,1079
8,100,253,113.46,0.3952569169960474,0.9337944664031621,4.375,1890,35,81,1080
8,100,270,117.95,0.37037037037037035,0.8976851851851851,4.875,1939,39,82,1081
8,100,268,125.75,0.373134328358209,0.9486940298507462,5.5,2034,44,83,1082
8,100,247,115.84,0.4048582995951417,0.9316801619433198,6.5,1841,52,84,1083
8,100,256,118.5,0.390625,0.9453125,3.375,1936,27,85,1084
8,100,255,110.8,0.39215686274509803,0.9083333333333333,5.5,1853,44,86,1085
8,100,245,111.35,0.40816326530612246,0.9306122448979591,5.875,1824,47,87,1086
8,100,260,114.72,0.38461538461538464,0.9182692307692307,3.5,1910,28,88,1087
8,100,267,119.42,0.37453183520599254,0.9489700374531835,4.5,2027,36,89,1088
8,100,275,121.65,0.36363636363636365,0.8972727272727272,6.5,1974,52,90,1089
8,100,246,110.07,0.4065040650406504,0.9308943089430894,2.125,1832,17,91,1090
8,100,269,121.28,0.37174721189591076,0.9070631970260223,4.0,1952,32,92,1091
8,100,287,124.49,0.34843205574912894,0.9172473867595818,2.5,2106,20,93,1092
8,100,283,129.97,0.35335689045936397,0.9469964664310954,3.5,2144,28,94,1093
8,100,272,123.66,0.36764705882352944,0.9471507352941176,4.25,2061,34,95,1094
8,100,263,123.94,0.38022813688212925,0.9134980988593155,4.75,1922,38,96,1095
8,100,267,125.68,0.37453183520599254,0.9391385767790262,5.75,2006,46,97,1096
8,100,273,119.09,0.3663003663003663,0.9253663003663004,4.375,2021,35,98,1097
8,100,287,128.6,0.34843205574912894,0.9246515679442509,1.75,2123,14,99,1098
8,100,247,111.46,0.4048582995951417,0.9190283400809717,5.875,1816,47,100,1099
