time,waiting_tasks,completed_tasks,active_robots,blocked_robots
1,96,0,4,0
2,96,0,4,0
3,96,0,4,0
4,96,0,4,0
5,96,0,4,0
6,96,0,4,0
7,96,0,4,0
8,96,0,4,0
9,96,0,4,0
10,96,0,4,0
11,96,0,4,0
12,96,2,2,0
13,94,2,4,0
14,94,2,4,0
15,94,2,4,0
16,94,2,4,0
17,94,3,3,0
18,93,3,4,0
19,93,3,4,0
20,93,3,4,0
21,93,3,4,0
22,93,3,4,0
23,93,4,3,0
24,92,4,4,0
25,92,4,4,0
26,92,4,4,0
27,92,4,4,0
28,92,4,4,0
29,92,4,4,0
30,92,5,3,0
31,91,6,3,0
32,90,6,4,0
33,90,6,4,0
34,90,7,3,0
35,89,7,4,0
36,89,7,4,0
37,89,7,4,0
38,89,7,4,0
39,89,7,4,0
40,89,7,4,0
41,89,8,3,0
42,88,8,4,0
43,88,8,4,0
44,88,8,4,0
45,88,9,3,0
46,87,9,4,0
47,87,9,4,0
48,87,9,4,0
49,87,10,3,0
50,86,10,4,0
51,86,10,4,0
52,86,11,3,0
53,85,11,4,0
54,85,12,3,0
55,84,12,4,0
56,84,13,3,0
57,83,13,3,1
58,83,13,4,0
59,83,13,4,0
60,83,13,4,0
61,83,14,3,0
62,82,14,4,0
63,82,14,4,0
64,82,15,3,0
65,81,15,4,0
66,81,15,4,0
67,81,15,4,0
68,81,16,3,0
69,80,16,4,0
70,80,16,4,0
71,80,16,4,0
72,80,17,3,0
73,79,18,3,0
74,78,18,4,0
75,78,18,4,0
76,78,18,4,0
77,78,18,4,0
78,78,18,4,0
79,78,18,4,0
80,78,19,3,0
81,77,19,4,0
82,77,20,3,0
83,76,20,4,0
84,76,20,4,0
85,76,20,4,0
86,76,20,4,0
87,76,20,4,0
88,76,20,4,0
89,76,20,4,0
90,76,21,3,0
91,75,21,3,1
92,75,21,4,0
93,75,21,4,0
94,75,22,3,0
95,74,22,4,0
96,74,24,2,0
97,72,24,4,0
98,72,24,4,0
99,72,24,4,0
100,72,24,4,0
101,72,24,4,0
102,72,24,4,0
103,72,24,4,0
104,72,24,4,0
105,72,24,4,0
106,72,26,2,0
107,70,26,4,0
108,70,26,4,0
109,70,26,4,0
110,70,27,3,0
111,69,27,4,0
112,69,27,4,0
113,69,27,4,0
114,69,27,4,0
115,69,27,4,0
116,69,27,3,1
117,69,27,4,0
118,69,27,4,0
119,69,29,2,0
120,67,29,4,0
121,67,30,3,0
122,66,31,3,0
123,65,31,4,0
124,65,31,4,0
125,65,31,4,0
126,65,31,4,0
127,65,31,4,0
128,65,31,4,0
129,65,31,4,0
130,65,31,4,0
131,65,31,4,0
132,65,32,3,0
133,64,33,3,0
134,63,33,4,0
135,63,33,4,0
136,63,33,4,0
137,63,33,4,0
138,63,33,4,0
139,63,33,4,0
140,63,33,4,0
141,63,33,4,0
142,63,33,4,0
143,63,33,4,0
144,63,33,4,0
145,63,34,3,0
146,62,35,3,0
147,61,35,4,0
148,61,35,4,0
149,61,35,4,0
150,61,35,4,0
151,61,36,3,0
152,60,36,4,0
153,60,36,4,0
154,60,36,4,0
155,60,36,4,0
156,60,36,4,0
157,60,36,4,0
158,60,36,4,0
159,60,37,3,0
160,59,37,4,0
161,59,37,4,0
162,59,37,4,0
163,59,38,3,0
164,58,38,4,0
165,58,38,4,0
166,58,38,4,0
167,58,38,4,0
168,58,39,3,0
169,57,40,3,0
170,56,40,4,0
171,56,40,4,0
172,56,40,4,0
173,56,40,4,0
174,56,40,4,0
175,56,40,4,0
176,56,40,4,0
177,56,40,4,0
178,56,40,4,0
179,56,40,4,0
180,56,40,4,0
181,56,41,3,0
182,55,42,3,0
183,54,42,4,0
184,54,42,4,0
185,54,42,4,0
186,54,43,3,0
187,53,43,4,0
188,53,43,4,0
189,53,43,4,0
190,53,43,4,0
191,53,44,3,0
192,52,44,4,0
193,52,44,4,0
194,52,44,3,1
195,52,44,3,1
196,52,44,4,0
197,52,45,3,0
198,51,45,3,1
199,51,46,3,0
200,50,47,3,0
201,49,47,4,0
202,49,47,4,0
203,49,47,4,0
204,49,47,4,0
205,49,47,4,0
206,49,47,4,0
207,49,47,4,0
208,49,47,4,0
209,49,49,2,0
210,47,49,4,0
211,47,50,3,0
212,46,50,4,0
213,46,50,4,0
214,46,50,4,0
215,46,50,4,0
216,46,50,4,0
217,46,50,4,0
218,46,50,4,0
219,46,50,4,0
220,46,50,4,0
221,46,51,3,0
222,45,51,4,0
223,45,51,4,0
224,45,51,4,0
225,45,52,3,0
226,44,52,4,0
227,44,52,4,0
228,44,52,4,0
229,44,53,3,0
230,43,53,4,0
231,43,53,4,0
232,43,54,3,0
233,42,54,4,0
234,42,54,4,0
235,42,54,4,0
236,42,54,4,0
237,42,54,4,0
238,42,54,4,0
239,42,54,4,0
240,42,54,4,0
241,42,55,3,0
242,41,55,4,0
243,41,55,4,0
244,41,55,4,0
245,41,57,2,0
246,39,57,4,0
247,39,57,4,0
248,39,57,4,0
249,39,57,4,0
250,39,57,4,0
251,39,57,4,0
252,39,57,4,0
253,39,57,4,0
254,39,58,3,0
255,38,58,4,0
256,38,58,4,0
257,38,58,4,0
258,38,58,4,0
259,38,58,4,0
260,38,58,4,0
261,38,58,4,0
262,38,58,4,0
263,38,58,4,0
264,38,59,3,0
265,37,59,4,0
266,37,59,4,0
267,37,60,3,0
268,36,60,4,0
269,36,61,3,0
270,35,62,3,0
271,34,62,4,0
272,34,62,4,0
273,34,62,4,0
274,34,62,4,0
275,34,62,4,0
276,34,62,4,0
277,34,62,4,0
278,34,62,4,0
279,34,62,4,0
280,34,63,3,0
281,33,63,4,0
282,33,63,4,0
283,33,63,4,0
284,33,63,4,0
285,33,63,4,0
286,33,63,4,0
287,33,63,4,0
288,33,64,3,0
289,32,64,4,0
290,32,64,4,0
291,32,64,4,0
292,32,64,4,0
293,32,64,4,0
294,32,64,4,0
295,32,65,3,0
296,31,65,4,0
297,31,65,4,0
298,31,65,4,0
299,31,66,3,0
300,30,66,4,0
301,30,67,3,0
302,29,67,4,0
303,29,67,4,0
304,29,67,4,0
305,29,67,4,0
306,29,67,4,0
307,29,67,4,0
308,29,67,4,0
309,29,67,4,0
310,29,67,4,0
311,29,67,4,0
312,29,67,4,0
313,29,69,2,0
314,27,69,4,0
315,27,70,3,0
316,26,70,4,0
317,26,70,4,0
318,26,70,4,0
319,26,70,4,0
320,26,70,4,0
321,26,70,4,0
322,26,70,4,0
323,26,70,4,0
324,26,70,4,0
325,26,70,4,0
326,26,71,3,0
327,25,72,3,0
328,24,72,4,0
329,24,72,4,0
330,24,72,4,0
331,24,72,4,0
332,24,72,4,0
333,24,72,4,0
334,24,72,4,0
335,24,72,4,0
336,24,72,4,0
337,24,72,4,0
338,24,72,3,1
339,24,72,4,0
340,24,72,4,0
341,24,72,4,0
342,24,72,4,0
343,24,72,4,0
344,24,72,4,0
345,24,73,3,0
346,23,74,3,0
347,22,74,4,0
348,22,74,4,0
349,22,74,4,0
350,22,75,3,0
351,21,75,4,0
352,21,75,4,0
353,21,75,4,0
354,21,75,4,0
355,21,75,3,1
356,21,75,4,0
357,21,76,3,0
358,20,76,4,0
359,20,76,4,0
360,20,76,4,0
361,20,76,4,0
362,20,76,4,0
363,20,76,4,0
364,20,76,4,0
365,20,76,4,0
366,20,76,4,0
367,20,76,4,0
368,20,76,4,0
369,20,76,4,0
370,20,76,4,0
371,20,76,4,0
372,20,77,3,0
373,19,77,4,0
374,19,77,4,0
375,19,77,4,0
376,19,77,4,0
377,19,77,4,0
378,19,77,4,0
379,19,77,4,0
380,19,77,4,0
381,19,78,3,0
382,18,78,4,0
383,18,78,4,0
384,18,79,3,0
385,17,79,4,0
386,17,79,4,0
387,17,79,4,0
388,17,80,3,0
389,16,80,4,0
390,16,80,4,0
391,16,80,4,0
392,16,80,4,0
393,16,80,4,0
394,16,80,4,0
395,16,80,4,0
396,16,80,4,0
397,16,80,4,0
398,16,80,4,0
399,16,80,4,0
400,16,80,4,0
401,16,80,4,0
402,16,80,4,0
403,16,80,4,0
404,16,81,3,0
405,15,82,3,0
406,14,82,4,0
407,14,82,4,0
408,14,82,4,0
409,14,82,4,0
410,14,82,4,0
411,14,82,4,0
412,14,82,4,0
413,14,82,4,0
414,14,82,4,0
415,14,82,4,0
416,14,83,3,0
417,13,83,4,0
418,13,83,4,0
419,13,83,4,0
420,13,83,4,0
421,13,83,4,0
422,13,84,3,0
423,12,84,4,0
424,12,84,4,0
425,12,84,4,0
426,12,85,3,0
427,11,85,4,0
428,11,85,4,0
429,11,86,3,0
430,10,86,4,0
431,10,86,4,0
432,10,86,4,0
433,10,86,4,0
434,10,86,4,0
435,10,86,4,0
436,10,86,4,0
437,10,86,4,0
438,10,86,4,0
439,10,87,3,0
440,9,87,4,0
441,9,87,4,0
442,9,88,3,0
443,8,88,4,0
444,8,88,4,0
445,8,88,4,0
446,8,88,4,0
447,8,88,4,0
448,8,88,4,0
449,8,88,4,0
450,8,88,4,0
451,8,88,4,0
452,8,89,3,0
453,7,89,4,0
454,7,89,4,0
455,7,89,4,0
456,7,89,4,0
457,7,89,4,0
458,7,89,4,0
459,7,89,4,0
460,7,89,4,0
461,7,89,4,0
462,7,89,4,0
463,7,90,3,0
464,6,90,4,0
465,6,90,4,0
466,6,91,3,0
467,5,91,4,0
468,5,91,4,0
469,5,91,4,0
470,5,91,4,0
471,5,91,4,0
472,5,91,4,0
473,5,91,4,0
474,5,91,4,0
475,5,91,4,0
476,5,91,4,0
477,5,91,4,0
478,5,91,4,0
479,5,92,3,0
480,4,92,4,0
481,4,92,4,0
482,4,93,3,0
483,3,93,4,0
484,3,93,4,0
485,3,93,4,0
486,3,93,4,0
487,3,93,4,0
488,3,93,4,0
489,3,93,4,0
490,3,93,4,0
491,3,93,4,0
492,3,93,4,0
493,3,93,4,0
494,3,93,4,0
495,3,94,3,0
496,2,94,4,0
497,2,94,4,0
498,2,94,4,0
499,2,94,4,0
500,2,94,4,0
501,2,94,4,0
502,2,94,4,0
503,2,94,4,0
504,2,94,3,1
505,2,94,4,0
506,2,94,4,0
507,2,94,4,0
508,2,94,4,0
509,2,94,4,0
510,2,94,4,0
511,2,96,2,0
512,0,96,4,0
513,0,96,4,0
514,0,96,4,0
515,0,96,4,0
516,0,96,4,0
517,0,96,4,0
518,0,96,4,0
519,0,96,4,0
520,0,96,4,0
521,0,96,4,0
522,0,96,4,0
523,0,96,4,0
524,0,96,4,0
525,0,96,4,0
526,0,96,4,0
527,0,96,4,0
528,0,97,3,0
529,0,99,1,0
530,0,99,1,0
531,0,99,1,0
532,0,99,1,0
533,0,99,1,0
534,0,99,1,0
535,0,99,1,0
536,0,99,1,0
537,0,99,1,0
538,0,99,1,0
539,0,99,1,0
540,0,99,1,0
541,0,99,1,0
542,0,99,1,0
543,0,99,1,0
544,0,99,1,0
545,0,99,1,0
546,0,99,1,0
547,0,99,1,0
548,0,99,1,0
549,0,99,1,0
550,0,99,1,0
551,0,99,1,0
552,0,99,1,0
553,0,99,1,0
554,0,99,1,0
555,0,99,1,0
556,0,100,0,0
